Chapter,Date,Name,Completion L,Completion G,Completion C,Route,Choice 1,Choice 1 L,Choice 1 G,Choice 1 C,Choice 2,Choice 2 L,Choice 2 G,Choice 2 C,Choice 3,Choice 3 L,Choice 3 G,Choice 3 C
3,October 6,Archaeological Survey of Underground Waterways,1,1,0,,Prioritize defeating the monsters (L),5,0,0,Profit while the others fight ©,0,0,5,,,,
3,October 7,Creating a Special Cocktail,0,1,0,,,,,,,,,,,,,
3,October 7,Heat Haze Dunes Monster Extermination,1,1,0,,,,,,,,,,,,,
4,October 18,Crisis of the Kidnapped Daughter,1,1,0,,Give up the ransom and secure the hostage (L),5,0,0,Leave the ransom to Eddy (G),0,5,0,,,,
4,October 18,Father Addicted to New Religion,0,1,1,,Warn him of destruction if he plays the flute (C),0,0,5,Deal the finishing blow to the monster (L),5,0,0,,,,
4,October 18,Seiden District Waterworks Monster Clean-Up (2),1,1,0,,,,,,,,,,,,,
4,October 18,Showdown – Metropolitan Highway Race,1,1,0,,,,,,,,,,,,,
4,October 23,New Hollow Core Test,0,1,0,,,,,,,,,,,,,
4,October 23,Epic Remote Car Showdown,1,0,0,,,,,,,,,,,,,
4,October 23,Latest Puzzle Game Tester,1,0,0,,,,,,,,,,,,,
4,October 24,Crisis of Leaked Confidential Info,0,1,1,,Hand her over to the police and Verne (L),5,0,0,Hand her over to the CID (G),0,5,0,,,,
4,October 24,Collect Materials for Painkillers,1,0,0,,,,,,,,,,,,,
4,October 24,Accusation of Professor Harassment,1,1,0,,,,,,,,,,,,,
4,October 25,Tracking Latent Machinery,1,1,0,,,,,,,,,,,,,
5,November 9,Orbal Net Fraud Damage,0,1,0,,Deliver him to the police (L),5,0,0,Consider it water under the bridge (G),0,5,0,,,,
5,November 9,Underground Monster Clean-Up (2),1,1,0,,,,,,,,,,,,,
5,November 9,Search for Important Juniors,1,1,0,,,,,,,,,,,,,
5,November 14,Search for Semi-Bracer Gray,1,1,0,,,,,,,,,,,,,
6,November 19,Consult about ‘Homecoming’,0,1,1,,,,,,,,,,,,,
6,November 19,Seiden District Waterworks Monster Clean-Up (3),1,1,0,,,,,,,,,,,,,
6,November 19,Abandoned Subway Line Monster Clean Up,1,1,0,,,,,,,,,,,,,
6,November 20,Phase 1 Aid a Jaeger group,0,0,0,,Aid the Khurga Warriors (C),0,0,5,Aid the Eisen Schild (L),5,0,0,,,,
6,November 20,VS Phase 1 Boss,0,0,0,Law,Deal the finishing blow (G),0,3,0,Take their weapon while avoiding vital parts & Hand over to the guild,4,0,0,Take their weapon while avoiding vital parts & Hand over to Heiyue,3,1,0
6,November 20,VS Phase 1 Boss,0,0,0,Grey,Deal the finishing blow (C),0,0,10,Take their weapon while avoiding vital parts & Hand over to the guild,4,0,0,Take their weapon while avoiding vital parts & Hand over to Heiyue,3,1,0
6,November 20,VS Phase 1 Boss,0,0,0,Chaos,Deal the finishing blow (C),0,0,10,Take their weapon while avoiding vital parts & Hand over to the guild,4,0,0,Take their weapon while avoiding vital parts & Hand over to Heiyue,3,1,0
6,November 20,VS Phase 1 Boss,0,0,0,Fourth,Deal the finishing blow (C),0,0,10,Take their weapon while avoiding vital parts & Hand over to the guild,4,0,0,Take their weapon while avoiding vital parts & Hand over to Heiyue,3,1,0
6,November 21,Consult about Threatening Letters,1,1,0,,Hand over to the guild (L),5,0,0,Hand over to the Heiyue (G),0,5,0,,,,
6,November 21,Consult about Tourists,0,1,0,,Try to convince them (L),5,0,0,Challenge them (C),0,0,5,,,,
6,November 21,VS Phase 2 Boss,0,0,0,Law,Deal the finishing blow (G),0,3,0,Stop them without hesitation & Hand over to the guild,4,0,0,Stop them without hesitation & Hand over to Heiyue,3,1,0
6,November 21,VS Phase 2 Boss,0,0,0,Grey,Deal the finishing blow (C),0,0,10,Stop them without hesitation & Hand over to the guild,4,0,0,Stop them without hesitation & Hand over to Heiyue,3,1,0
6,November 21,VS Phase 2 Boss,0,0,0,Chaos,Deal the finishing blow (C),0,0,10,Stop them without hesitation & Hand over to the guild,4,0,0,Stop them without hesitation & Hand over to Heiyue,3,1,0
6,November 21,VS Phase 2 Boss,0,0,0,Law,Deal the finishing blow (C),0,0,10,Stop them without hesitation & Hand over to the guild,4,0,0,Stop them without hesitation & Hand over to Heiyue,3,1,0
6,November 21,Search for Kidnapped Son,1,1,0,,,,,,,,,,,,,
6,November 21,Help with Revenge on “A”,0,1,1,,,,,,,,,,,,,
6,November 22,VS Phase 3 Boss,0,0,0,,Let them do as they want (G & C),0,1,5,Stop them & Hand over to the guild,6,1,0,Stop them & Hand over to Heiyue,5,1,0
6,November 22,Underground Ruins – Upper Layer Monster Clean-up,1,1,0,,,,,,,,,,,,,
6,November 22,Underground Ruins – Middle Layer Monster Clean-up,1,1,0,,,,,,,,,,,,,
6,November 22,Underground Ruins – Lower Layer Monster Clean-up,1,1,0,,,,,,,,,,,,,
7,November 30,Dingo’s Will,0,1,0,,,,,,,,,,,,,
7,November 30,Son Who Has Gone Astray,1,0,0,,Remind them of the bond of family (L),5,0,0,Deliberately act cold and recommend divorce (C),0,0,5,,,,
7,November 30,Dirke Memorial Park Forest Clean-Up,1,1,0,,,,,,,,,,,,,
7,November 30,Dear Mr. Spriggan,1,1,1,,,,,,,,,,,,,
7,December 3,Lost Best Friend,0,1,0,,Persuade him that he will end up regretting it (L),5,0,0,Lambast the three of them (G),0,5,0,,,,
7,December 3,Battle – Autobahn Showdown,1,1,0,,,,,,,,,,,,,
7,December 3,New Year’s Festival Sweets Consult,1,0,0,,,,,,,,,,,,,
